ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes;
powdered instant chocolate drink mix;3,16;15618;ingredient;COCOA POWDER;;;
dill rye bread;0,86;901,8;typology;BREAD;;;
medium tart apple;0,81;6847;ingredient;APPLES;;;
smoke flavoring;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
Club cracker;1,35;1447;ingredient;PLAIN CRACKERS**;;;
peeled and chopped apple;0,81;6847;ingredient;APPLES;;;
whole wheat pancake mix;2,15;;ingredient;BUTTERMILK PANCAKE MIX;https://apps.carboncloud.com/climatehub/product-reports/078716001505/USA;;
instant oat;2,64;2196,5;typology;BREAKFAST CEREALS;;;
beaten eggs;3,2;2562;ingredient;EGGS*;;;
freshly squeezed tangerine juice;0,46;1019;ingredient;ORANGE JUICE;;;
sour cherry jam;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
chopped ham;7,95;6177;ingredient;PORK HAM;;;
uncooked elbow macaroni;1,21;1508;ingredient;PASTA*;;;
butter cookie;1,47;1870,3;typology;BISCUITS;;;
lemon bar mix;0,34;642;ingredient;LEMON;;;
Kelloggs Just Right cereal;2,64;1977;ingredient;BARLEY FLAKES;;;
crushed walnut;2,06;11264;ingredient;WALNUT;;;
package country style frozen hash brown potato;0,24;555;ingredient;POTATO;;;
orange slice candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
date syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
zaatar spice;0,84;8280;typology;SPICIES;;;
coarse pretzel crumb;1,35;1423,3;typology;CRISPBREAD;;;
French vanilla instant pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
bulk sausage;5,99;6177;ingredient;SAUSAGES;;;
dry-roasted salted peanuts;0,83;2782;ingredient;PEANUT;;;
cranberry jam;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
instant pineapple pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
peeled and diced apple;0,81;6847;ingredient;APPLES;;;
grated meyer lemon zest;0,34;642;ingredient;LEMON;;;
buttery cracker;0,93;1378;ingredient;FLAVORED CRACKERS**;;;
bread round;0,86;667;ingredient;BREAD;;;
smoked oyster;1,24;2313,5;ingredient;HERRING;;;
seasoned rice flour;0,87;2429;ingredient;RICE FLOUR & MEAL;;;
barley malt syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;
mac and cheese;4,03;;ingredient;MACARONI & CHEESE;https://apps.carboncloud.com/climatehub/product-reports/id/1090520914685;;
instant oatmeal;0,87;2536;ingredient;OAT MEAL;;;
canned whole green chili;1,48;806,6;typology;VEGETABLES CANNED;;;
pistachio pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
Hersheys semi-sweet chocolate chip;4,3;;ingredient;CHOCOLATE;;;
garlic rub;0,84;2265;ingredient;GARLIC POWDER;;;
garlic & herb spreadable cheese;8,93;5253;ingredient;CHEESE;;;
flavour;2,85;1540;ingredient;YOGURT FLAVOURED**;;;
ragu spaghetti sauce;13,74;;ingredient;Bolognese sauce;https://livelca.com/products/bolognese-sauce_2e665d55-e149-4790-a2fe-f4287fe846f3;;
vanilla glaze;4,3;;ingredient;VANILLA;;;
light Italian dressing;1,46;572;typology;DRESSING;;;
jar pimiento;0,84;7611;ingredient;PEPPER (PIPER SPP.);;;
fresh whole red chili pepper;0,84;8280;typology;SPICIES;;;
peanut butter spread;1,84;;ingredient;PEANUT BUTTER;;;
chocolate mint kiss;4,3;;ingredient;CHOCOLATE;;;
white cabbage;1,865;336;typology;VEGETABLES;;;
instant dry yeast;3,29;;ingredient;YEAST DRIED*;;;
pureed garlic;0,25;589;ingredient;GARLIC;;;
boiling coffee;0,55;960;typology;COFFEE LIQUID;;;
mcintosh apple;0,81;6847;ingredient;APPLES;;;
diced rhubarb;1,18;336;typology;VEGETABLES;;;
sugar confectioners;0,78;1294,5;typology;SUGAR;;;
aged edam cheese;9,59;5253;ingredient;HARD AND SEMI-HARD CHEESE;;;
crushed nacho cheese flavored chip;0,98;1258;typology;CRACKERS;;;
egg wash;3,2;2562;ingredient;EGGS*;;;
Quaker Oats;0,67;1788;ingredient;OAT;;;
kamut flour;0,36;1889,5;ingredient;WHOLE WHEAT FLOUR;;;
multigrain flat bread;0,86;901,8;typology;BREAD;;;
instant coffee crystals;0,55;960;ingredient;COFFEE SOLUBLE POWDER (L);;;
hot chocolate ice cube;4,3;;ingredient;CHOCOLATE;;;
reserved peach juice;0,39;910;ingredient;PEACH;;;
champagne mustard;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;
greek dressing;3,27;14415;ingredient;OLIVE OIL;;;
red palm oil;2,43;4971;ingredient;PALM OIL;;;
box buttery round crackers;0,98;1258;typology;CRACKERS;;;
cheese ball;8,93;5253;ingredient;CHEESE;;;
prune jam;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
butternut flavoring;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
pinch lemon zest;0,34;642;ingredient;LEMON;;;
coconut pecan frosting;1,14;;ingredient;WHITE FROSTING;https://apps.carboncloud.com/climatehub/product-reports/070980322966/USA;;
cracked peppercorn;0,84;7611;ingredient;PEPPER (PIPER SPP.);;;
whole cranberry sauce;0,64;276;ingredient;CRANBERRY;;;
dash Accent seasoning;0,84;8280;typology;SPICIES;;;
grated cauliflower;0,31;285;ingredient;CAULIFLOWER;;;
toasted breadcrumbs;0,86;901,8;typology;BREAD;;;
ocean spray jellied cranberry sauce;0,64;276;ingredient;CRANBERRY;;;
ocean spray whole berry cranberry sauce;0,64;276;ingredient;CRANBERRY;;;
heartland granola cereal;2,64;2196,5;typology;BREAKFAST CEREALS;;;
walnut vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
Snickers miniature candy bar;9,63;;ingredient;SNICKERS, CANDY BAR;https://apps.carboncloud.com/climatehub/product-reports/040000499039/USA;;
Laughing Cow cheese;8,93;5253;ingredient;CHEESE;;;
package dried mixed fruit;0,81;2636,5;typology;DRIED FRUIT;;;
seed meal;0,88;3087,5;typology;SEEDS;;;
coconut butter;2,11;4490;ingredient;COCONUT OIL;;;
fresh squeezed orange juice;0,46;1019;ingredient;ORANGE JUICE;;;
finely chopped leek;1,18;336;typology;VEGETABLES;;;
small carrots;0,81;750,5;ingredient;CARROTS (F);;;
dry white breadcrumb;0,86;901,8;typology;BREAD;;;
fresh mint sprig;0,84;288;ingredient;PEPPERMINT;;;
white dipping chocolate;3,16;20717;typology;CHOCOLATE;;;
small yellow squash;0,33;336;ingredient;SQUASH;;;
chopped fresh dill;1,18;336;typology;VEGETABLES;;;
peeled apple;0,81;6847;ingredient;APPLES;;;
artichoke marinade;0,33;818;ingredient;ARTICHOKE;;;
head red leaf lettuce;0,41;237;ingredient;LETTUCE;;;
chocolate chip cookie mix;1,47;1870,3;typology;BISCUITS;;;
slice smoked gouda cheese;8,93;5253;ingredient;CHEESE;;;
imitation sea leg;2,12;2313,5;typology;FISH PROCESSED;;;
twinkie;1,99;2158;typology;SWEETS;;;
whaler vanille rum;4,63;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Chairmans Reserve Rum used as proxy for every rum;
cappelletti pasta;3,15;4637;ingredient;EGG PASTA*;;;
lemon infused olive oil;3,27;14415;ingredient;OLIVE OIL;;;
flavor shortening;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
fat-free margarine;1,39;1324;ingredient;MARGARINE*;;;
pattypan squash;0,33;336;ingredient;SQUASH;;;
grapefruit zest;2,86;675;ingredient;GRAPEFRUIT JUICE;;;
prepared instant mashed potato;1,48;806,6;typology;VEGETABLES CANNED;;;
dbl act. baking powder;1,14;;ingredient;DOUBLE ACTING BAKING POWDER;https://apps.carboncloud.com/climatehub/product-reports/039978003928/USA;;
slice Velveeta cheese;8,93;5253;ingredient;CHEESE;;;
corn flakes cereal;2,64;2196,5;ingredient;CORNFLAKES*;;;
skim condensed milk;1,44;1599;typology;ANIMAL MILK;;;
crushed biscuits;0,93;1378;ingredient;FLAVORED CRACKERS**;;;
cantal cheese;8,93;5253;ingredient;CHEESE;;;
French cheese;8,93;5253;ingredient;CHEESE;;;
gluten-free rice flour mix;0,87;2429;ingredient;RICE FLOUR & MEAL;;;
creamy herbed goat cheese;9,59;5253;ingredient;GOAT CHEESE;;;
rollo chocolate-covered caramel candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
minced fresh dill;1,18;336;typology;VEGETABLES;;;
minced fresh coriander;0,84;8280;ingredient;CORIANDER;;;
package instant lemon pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
milk chocolate pieces;3,16;20717;ingredient;MILK CHOCOLATE;;;
Kit Kat bar;13,4;;ingredient;KitKat 4-Finger;https://apps.carboncloud.com/climatehub/product-reports/073214005390/USA;;
semi-sweet chocolate bit;3,16;20717;typology;CHOCOLATE;;;
candy-coated chocolate;4,3;;ingredient;CHOCOLATE;;;
canned vanilla frosting;1,14;;ingredient;WHITE FROSTING;https://apps.carboncloud.com/climatehub/product-reports/070980322966/USA;;
Mccormick potato toppers;0,27;1523;typology;STARCHY TUBER;;;
bean mix;0,43;5053;ingredient;BEAN;;;
TABASCO® brand Chipotle Pepper Sauce;6,7;;ingredient;Tabasco Pepper Sauce;https://apps.carboncloud.com/climatehub/product-reports/011210135871/SWE;;
dry textured vegetable protein;2,27;1724,5;typology;VEGETAL PROTEINS;;;
course sea salt;0,44;;ingredient;Salt;https://livelca.com/products/salt_e6c545cd-6221-4665-a1da-a562fc37ef60;;
toasted muesli;2,64;2196,5;typology;BREAKFAST CEREALS;;;
peeled plum tomato;1,3;267;ingredient;TOMATO PEELED;;;
cereal bar;2,64;2196,5;typology;BREAKFAST CEREALS;;;
squares bittersweet chocolate;3,16;20717;ingredient;DARK CHOCOLATE;;;
almond butter brickle;5,01;;ingredient;Almond butter;https://apps.carboncloud.com/climatehub/product-reports/id/143665458721;;
package instant vanilla;4,3;;ingredient;VANILLA;;;
french fried onion;0,22;290;ingredient;ONION;;;
shredded potato;0,24;555;ingredient;POTATO;;;
diced jalapeno pepper;0,65;379;ingredient;PEPPER;;;
ground chorizo sausage;5,99;6177;ingredient;SAUSAGES;;;
dried buttermilk;1,44;1599;ingredient;BUTTERED MILK;;;
jar banana baby food;0,34;748;ingredient;BANANA;;;
mild chili powder;0,84;8280;typology;SPICIES;;;
tarragon red wine vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;
ajie;0,84;8280;typology;SPICIES;;;
tomato and basil pasta sauce;1,14;147;ingredient;TOMATO & BASIL;;;
glaze butter;8,48;5659;ingredient;BUTTER*;;;
glaze cocoa;3,16;20717;typology;CHOCOLATE;;;
chocolate caramels;3,16;20717;typology;CHOCOLATE;;;
dry pasta;1,21;1508;ingredient;PASTA*;;;
Wondra Flour;0,87;1889,5;typology;GRAIN FLOUR;;;
semi sun-dried tomato;0,45;41;ingredient;TOMATO;;;
vanilla shortbread;1,47;1870,3;typology;BISCUITS;;;
broccosprout;1,18;336;typology;VEGETABLES;;;
package cajun-style rice;2,19;1597;ingredient;RICE*;;;
curd cheese;8,93;5253;ingredient;CHEESE;;;
madeira;0,66;524;typology;WINE;;;
black forest ham;5,99;6177;typology;PORK CURED MEAT;;;
large avocado;0,54;1805;ingredient;AVOCADO;;;
prego pasta sauce;1,19;151,3;typology;TOMATO SAUCE;;;
finely shredded parmesan cheese;9,59;5060;ingredient;CHEESE GRATED;;;
lucky blanched almond;1,88;11264;ingredient;ALMOND;;;
firmly packed mint;0,84;288;ingredient;PEPPERMINT;;;
link hot Italian sausage;5,99;6177;ingredient;SAUSAGES;;;
diced mozzarella cheese;8,2;5253;ingredient;MOZZARELLA;;;
Italian tomatoes;0,45;41;ingredient;TOMATO;;;
fetta cheese;9,59;5253;ingredient;GOAT CHEESE;;;
Italian plum tomato;0,45;41;ingredient;TOMATO;;;
slice cheese;8,93;5253;ingredient;CHEESE;;;
orange crush orange soda;1,35;;ingredient;Carbonated soft drink, aluminium can;https://apps.carboncloud.com/climatehub/product-reports/id/332704005785;Carbonated soft drink, aluminium can used as proxy for every carbonated soft drink;
spinach tagliatelle;0,34;292;ingredient;SPINACH;;;
boneless chicken thigh;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;
pickled beet;0,25;272;ingredient;BEETROOT;;;
sushi rice;2,19;1597;ingredient;RICE*;;;
chopped jalapeno pepper;0,84;8280;typology;SPICIES;;;
sourdough baguette;0,86;667;ingredient;BREAD;;;
toasted nut;1,38;11264;ingredient;CASHEW NUT;;;
wine chorizo sausage;5,99;6177;ingredient;SAUSAGES;;;
Libbys canned pumpkin;0,24;336;ingredient;PUMPKIN;;;
wholemeal self-rising flour;0,36;1889,5;ingredient;WHOLE WHEAT FLOUR;;;
leaves fresh basil;0,3;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;;
peeled garlic;0,25;589;ingredient;GARLIC;;;
cooked calrose rice;2,19;1597;ingredient;RICE*;;;
finely grated fresh lemon rind;0,34;642;ingredient;LEMON;;;
medium calamari;5,19;2313,5;typology;FISH;;;
spinach tortilla;0,57;1081;ingredient;MAIZE GROATS;;;
seafood magic seasoning;0,84;8280;typology;SPICIES;;;
extra asparagus;0,83;2150;ingredient;ASPARAGUS;;;
shelled pea;0,45;1979;ingredient;PEA;;;
sliced pitted ripe olive;0,64;3015;ingredient;OLIVES;;;
refined flour;0,52;1889,5;ingredient;WHEAT PLAIN FLOUR;;;
whole-grain penne pasta;1,21;1508;ingredient;PASTA*;;;
redleaf lettuce;0,41;237;ingredient;LETTUCE;;;
cheese dip;8,93;5253;ingredient;CHEESE;;;
cheese curd;8,93;5253;ingredient;CHEESE;;;
mild goat cheese;9,59;5253;ingredient;GOAT CHEESE;;;
cinnamon-swirl bread;0,86;901,8;typology;BREAD;;;
rice cakes;0,57;2230;ingredient;RICE GROATS;;;
oreo cookie;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;
baker chocolate;4,3;;ingredient;CHOCOLATE;;;
fresh herbs;0,84;8280;ingredient;CORIANDER;;;
dry white vermouth;0,66;524;typology;WINE;;;
ice cream stick;4,3;1599;typology;ICE CREAM;;;
medium chopped onion;0,22;1599;ingredient;ONION;;;
pudding cake mix;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
large shallot;0,25;272;ingredient;SHALLOT;;;
slice Italian bread;0,86;667;ingredient;BREAD;;;
Italian cheese;8,2;5253;ingredient;MOZZARELLA;;;
toasted pecans;1,11;16095;ingredient;ALMOND SHELLED;;;
ground ham;7,95;6177;ingredient;PORK HAM;;;
beef tomato;0,45;41;ingredient;TOMATO;;;
longhorn cheese;8,93;5253;ingredient;CHEESE;;;
Greek salad dressing;3,27;14415;ingredient;OLIVE OIL;;;
chocolate fudge pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
cooled mashed potatoes;0,24;555;ingredient;POTATO;;;
deli roll;0,86;901,8;typology;BREAD;;;
hominy grit;0,57;1618;typology;GRAINS;;;
slice Fontina cheese;8,93;5253;ingredient;CHEESE;;;
slice toast;0,86;667;ingredient;BREAD;;;
dried whole pea;0,45;1979;ingredient;PEA;;;
white pea bean;0,43;5053;ingredient;BEAN;;;
coarsely chopped onion;0,22;290;ingredient;ONION;;;
garlic sprout;0,25;589;ingredient;GARLIC;;;
huckleberries;0,78;845;ingredient;BLUEBERRY;;;
cooked cubed turkey;3,88;4325;typology;POULTRY BONE FREE MEAT;;;
store-bought pesto sauce;2,72;2174;ingredient;PESTO;;;
pappardelle pasta;3,15;4637;ingredient;EGG PASTA*;;;
juice of;2,86;1019;typology;FRUIT JUICE;;Lemon juice (should be fixed);
packed flat leaf parsley;0,33;750,5;typology;VEGETABLES OPENFIELD;;;
shelled natural pistachio nut;1,6;11363;ingredient;PISTACHIO;;;
cinnamon roll dough;0,86;901,8;typology;BREAD;;;
finely chopped jalapeno;0,84;8280;typology;SPICIES;;;
fudge brownie mix;3,16;20717;typology;CHOCOLATE;;;
cookie pie crust;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;
oil not olive oil;2,11;6792;typology;OIL;;;
sandies;1,47;1870,3;typology;BISCUITS;;;
box scalloped potato;0,24;555;ingredient;POTATO;;;
dry bean;0,43;5053;ingredient;BEAN;;;
sliced ham;7,95;6177;ingredient;PORK HAM;;;
sliced smoked turkey;3,88;4325;typology;POULTRY BONE FREE MEAT;;;
cooked penne pasta;1,21;1508;ingredient;PASTA*;;;
dried savory;0,84;8280;typology;SPICIES;;;
vin santo;0,66;524;typology;WINE;;;
finely chopped sun-dried tomato;1,95;;ingredient;Tomatoes (dried);https://livelca.com/products/tomatoes-dried_ddd32840-c02f-46e3-9662-e8fcdc6d75b2;;
finely chopped kalamata olive;0,64;3015;ingredient;OLIVES;;;
packet active dry yeast;3,29;;ingredient;YEAST DRIED*;;;
tomato concentrate;1,03;713;ingredient;TOMATO PUREE;;;
graham cracker crumb crust;0,98;1258;typology;CRACKERS;;;
fish-fry mix;2,12;2313,5;typology;FISH PROCESSED;;;
mixed fresh herbs;0,26;;ingredient;Herbs, open field, fresh;https://apps.carboncloud.com/climatehub/product-reports/id/482093060569;;
crushed hazelnut;1,11;11264;ingredient;HAZELNUT;;;
frozen mixed berry;1,18;748;typology;FRUIT FROZEN;;;
shredded longhorn cheese;9,59;5060;ingredient;CHEESE GRATED;;;
havarti;8,93;5253;ingredient;CHEESE;;;
biscuit crumbs;0,86;667;ingredient;BREAD;;;
plain nonfat yogurt;2,55;1540;typology;YOGURT;;;
finely shredded carrots;0,24;195;ingredient;CARROT;;;
california avocado;0,54;1805;ingredient;AVOCADO;;;
fruit salsa;2,15;748;typology;FRUIT;;;
chocolate graham cracker crumbs;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;
stalk of celery;0,33;362;ingredient;CELERY;;;
fennel sausage;5,99;6177;ingredient;SAUSAGES;;;
slice of white bread;0,89;1031;ingredient;BREAD PLAIN**;;;
flat-leaf parsley;0,84;8280;ingredient;CORIANDER;;;
melted unsalted butter;8,48;5659;ingredient;BUTTER*;;;
Frenchs French fried onion;0,22;290;ingredient;ONION;;;
crushed graham cracker crumbs;0,98;1258;typology;CRACKERS;;;
yogurt cheese;8,93;5253;ingredient;CHEESE;;;
padano;9,59;5253;ingredient;GRANA PADANO;;;
corn flakes crushed;2,64;2196,5;ingredient;CORNFLAKES*;;;
unsalted pistachios;1,6;11363;ingredient;PISTACHIO;;;
whey protein powder;5,8;;ingredient;Whey protein, 80% protein;https://apps.carboncloud.com/climatehub/product-reports/id/5275940505;;
sifted baking powder;1,14;;ingredient;DOUBLE ACTING BAKING POWDER;https://apps.carboncloud.com/climatehub/product-reports/039978003928/USA;;
roasted hazelnuts;1,11;11264;ingredient;HAZELNUT;;;
finely grated lime zest;0,34;642;ingredient;LIME;;;
English toffee bits;2,74;;ingredient;Toffees;https://livelca.com/products/toffees_b0dee6db-9d0d-46c2-bcf1-34eeabfbebc5;;
small sweet onion;0,22;290;ingredient;ONION;;;
shredded cooked turkey;3,88;4325;typology;POULTRY BONE FREE MEAT;;;
black and red pepper blend;0,65;379;ingredient;PEPPER;;;
frozen berry;1,18;748;typology;FRUIT FROZEN;;;
manouri cheese;9,59;5253;ingredient;GOAT CHEESE;;;
peach flavoring;25;;ingredient;Synthetic food flavoring, generic;https://apps.carboncloud.com/climatehub/product-reports/id/3218899265196;Synthetic food flavoring, generic used as proxy for every kind of flavoring;
malt biscuit;0,57;1950;ingredient;MALT;;;
canned green chili pepper;1,48;806,6;typology;VEGETABLES CANNED;;;
cheesecake pudding mix;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
slice ripe tomato;0,45;41;ingredient;TOMATO;;;
slice mozzarella cheese;8,2;5253;ingredient;MOZZARELLA;;;
fine chopped nuts;1,11;11264;typology;NUTS;;;
large granny smith apple;0,81;6847;ingredient;APPLES;;;
meyer lemon zest;0,34;642;ingredient;LEMON;;;
lemon cookie crumbs;1,47;1870,3;typology;BISCUITS;;;
chopped fresh broccoli;0,57;336;ingredient;BROCCOLI;;;
thinly sliced apples;0,81;6847;ingredient;APPLES;;;
chocolate extract;4,3;;ingredient;CHOCOLATE;;;
corn grit;0,87;1889,5;ingredient;MAIZE FLOUR;;;
chocolate pieces;4,3;;ingredient;CHOCOLATE;;;
chihuahua cheese;8,93;5253;ingredient;CHEESE;;;
red salmon;3,37;2193;ingredient;SALMON;;;
oyster cracker;1,35;1447;ingredient;PLAIN CRACKERS**;;;
chopped baking apples;0,81;6847;ingredient;APPLES;;;
sliced olive;0,64;3015;ingredient;OLIVES;;;
slice fresh mozzarella cheese;8,2;5253;ingredient;MOZZARELLA;;;
slice roma tomato;0,45;41;ingredient;TOMATO;;;
mini bell pepper;0,65;379;ingredient;PEPPER;;;
chocolate graham wafer pie crust;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;
slices toast;0,86;667;ingredient;BREAD;;;
chopped chive;1,18;336;typology;VEGETABLES;;;
imitation cream cheese;5,45;5253;typology;CHEESE FRESH;;;
splenda brown sugar blend;0,78;1294,5;typology;SUGAR;;;
whole cherry jam;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;
carton Cool Whip;2,42;;ingredient;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Cr�me de lait, 15 � 20% MG, l�g�re, semi-�paisse, UHT used as proxy for every whipped topping (panna montata);
maize flour;0,87;1889,5;ingredient;MAIZE FLOUR;;;
cookie crumbs;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;
chocolate pudding mix;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;
mixed deluxe candied fruit;0,81;2636,5;typology;DRIED FRUIT;;;
frango chocolate-covered mint candy;1,84;;ingredient;CANDY;https://apps.carboncloud.com/climatehub/product-reports/073621012219/USA;CANDY used as proxy for every candies;
Tony Chacheres Seasoning;0,84;8280;typology;SPICIES;;;
green liquid food coloring;1,07;;ingredient;E150a caramel coloring;https://apps.carboncloud.com/climatehub/product-reports/id/328930908939;;
fresh berries;0,78;845;ingredient;BLUEBERRY;;;
cranberry-orange relish;0,64;276;ingredient;CRANBERRY;;;
canned pure pumpkin;0,24;336;ingredient;PUMPKIN;;;
diced dried pineapple;0,55;255;ingredient;PINEAPPLE (I);;;
Zwieback;0,86;901,8;typology;BREAD;;;
ground poppy seed;0,88;2188;ingredient;POPPY SEED;;;
coarsely chopped apples;0,81;6847;ingredient;APPLES;;;
chocolate malt powder;3,16;15618;ingredient;COCOA POWDER;;;
cold cream cheese;8,93;5253;ingredient;CHEESE;;;
ground blanched almond;1,88;11264;ingredient;ALMOND;;;
leave;0,41;237;ingredient;LETTUCE;;;
topping butter;8,48;5659;ingredient;BUTTER*;;;
whole milk ricotta cheese;5,45;2470,5;ingredient;RICOTTA;;;
ginger brandy;8,22;;ingredient;Brandy;https://livelca.com/products/brandy_30e6d270-02c0-4de2-8777-622ea7e107a7;Brandy used as proxy for every brandy;
finely chopped dried cranberries;0,64;276;ingredient;CRANBERRY;;;
gluten-free oat;0,67;1788;ingredient;OAT;;;
gluten-free baking mix;1,14;;ingredient;DOUBLE ACTING BAKING POWDER;https://apps.carboncloud.com/climatehub/product-reports/039978003928/USA;;
shaved chocolate bar;3,16;20717;ingredient;MILK CHOCOLATE;;;
crushed chocolate cookie;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;
medium chopped walnut;2,06;11264;ingredient;WALNUT;;;
leaf fresh spinach;0,34;292;ingredient;SPINACH;;;
raspberry chocolate chips;3,16;20717;typology;CHOCOLATE;;;
wafer cookie;1,53;2902;ingredient;CHOCOLATE OR CREAM FILLED COOKIES**;;;
snickers;9,63;;ingredient;SNICKERS, CANDY BAR;https://apps.carboncloud.com/climatehub/product-reports/040000499039/USA;;
frozen mixed peas and carrots;0,81;339;ingredient;MIXED VEGETABLES (F);;;
vegetarian refried beans;0,78;555,5;typology;LEGUMES CANNED;;;
sliced sun-dried tomato;1,95;;ingredient;Tomatoes (dried);https://livelca.com/products/tomatoes-dried_ddd32840-c02f-46e3-9662-e8fcdc6d75b2;;
box angel hair pasta;1,21;1508;ingredient;PASTA*;;;
hefeweizen;0,69;155;typology;BEER;;;
godiva chocolate liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer;
olive spread;0,64;3015;ingredient;OLIVES;;;
red peppercorn;0,84;7611;ingredient;PEPPER (PIPER SPP.);;;
cooked shredded chicken;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;
peanut butter sandwich cookie;1,84;;ingredient;PEANUT BUTTER;;;
candied lemon peel;0,34;642;ingredient;LEMON;;;
candied citron peel;0,81;2636,5;typology;DRIED FRUIT;;;
dorito nacho chip;0,93;1378;ingredient;FLAVORED CRACKERS**;;;
lemon verbena leaf;0,03;;ingredient;Th� infus�, non sucr�;https://agribalyse.ademe.fr/app/aliments/18020;"In open food facts, the ingredient Lemon Verbena - Saint Gottard - 30 g is related to the agribalyse ingredient ""Th� infus�, non sucr�""";
lingonberry butter;8,48;5659;ingredient;BUTTER*;;;
coffee mocha ice cream;4,3;1599;typology;ICE CREAM;;;
unsalted cracker;1,35;1447;ingredient;PLAIN CRACKERS**;;;
broken walnut;2,06;11264;ingredient;WALNUT;;;
broken pecan;1,11;11264;typology;NUTS;;;
angelica;0,84;8280;typology;SPICIES;;;
berry sugar;0,78;1294,5;typology;SUGAR;;;
fruit chutney;2,15;748;typology;FRUIT;;;
stick unsalted butter;8,48;5659;ingredient;BUTTER*;;;
hershey\s cocoa;3,16;15618;ingredient;COCOA POWDER;;;
crushed pretzel;0,98;1258;typology;CRACKERS;;;
imitation vanilla;4,3;;ingredient;VANILLA;;;
whip cream;5,45;3838;ingredient;CREAM;;;
